t_s,u,gyro_dps
0.0000,0.0220,-1.20
0.0020,0.0220,-1.10
0.0040,0.0220,-1.60
0.0060,0.0220,-1.90
0.0080,0.0220,-2.20
0.0100,0.0230,-2.30
0.0120,0.0230,-2.40
0.0140,0.0230,-2.90
0.0160,0.0230,-3.80
0.0180,0.0240,-4.40
0.0200,0.0240,-4.80
0.0220,0.0240,-5.10
0.0240,0.0240,-4.10
0.0260,0.0230,-3.10
0.0280,0.0230,-2.40
0.0300,0.0230,-2.00
0.0320,0.0230,-1.70
0.0340,0.0230,-1.70
0.0360,0.0230,-1.80
0.0380,0.0230,-1.80
0.0400,0.0230,-1.90
0.0420,0.0230,-1.90
0.0440,0.0230,-1.90
0.0460,0.0230,-1.90
0.0480,0.0230,-1.90
0.0500,0.0230,-1.90
0.0520,0.0230,-2.00
0.0540,0.0230,-2.40
0.0560,0.0240,-3.30
0.0580,0.0240,-3.90
0.0600,0.0250,-4.30
0.0620,0.0250,-4.50
0.0640,0.0250,-4.10
0.0660,0.0240,-3.10
0.0680,0.0240,-2.40
0.0700,0.0240,-1.90
0.0720,0.0240,-1.60
0.0740,0.0240,-1.60
0.0760,0.0240,-2.10
0.0780,0.0240,-2.50
0.0800,0.0240,-2.70
0.0820,0.0250,-2.90
0.0840,0.0250,-2.60
0.0860,0.0240,-1.70
0.0880,0.0240,-1.10
0.0900,0.0240,-0.70
0.0920,0.0240,-0.40
0.0940,0.0240,-0.50
0.0960,0.0250,-1.30
0.0980,0.0250,-1.80
0.1000,0.0250,-2.10
0.1020,0.0250,-2.40
0.1040,0.0260,-2.50
0.1060,0.0260,-2.90
0.1080,0.0260,-3.30
0.1100,0.0270,-3.60
0.1120,0.0270,-3.70
0.1140,0.0270,-3.90
0.1160,0.0270,-3.50
0.1180,0.0270,-3.20
0.1200,0.0270,-3.10
0.1220,0.0270,-3.00
0.1240,0.0270,-2.90
0.1260,0.0270,-2.30
0.1280,0.0270,-1.70
0.1300,0.0270,-1.40
0.1320,0.0270,-1.20
0.1340,0.0270,-1.10
0.1360,0.0270,-0.80
0.1380,0.0270,-0.60
0.1400,0.0270,-0.40
0.1420,0.0270,-0.40
0.1440,0.0270,-0.30
0.1460,0.0280,-0.90
0.1480,0.0280,-1.60
0.1500,0.0290,-2.00
0.1520,0.0290,-2.30
0.1540,0.0290,-2.50
0.1560,0.0290,-2.70
0.1580,0.0300,-2.90
0.1600,0.0300,-3.00
0.1620,0.0300,-3.10
0.1640,0.0300,-3.10
0.1660,0.0300,-2.80
0.1680,0.0300,-2.20
0.1700,0.0300,-1.80
0.1720,0.0300,-1.60
0.1740,0.0300,-1.40
0.1760,0.0300,-1.20
0.1780,0.0300,-0.70
0.1800,0.0300,-0.40
0.1820,0.0300,-0.10
0.1840,0.0300,0.00
0.1860,0.0310,-0.10
0.1880,0.0310,-0.40
0.1900,0.0310,-0.60
0.1920,0.0310,-0.70
0.1940,0.0320,-0.80
0.1960,0.0320,-0.70
0.1980,0.0320,-0.30
0.2000,0.0320,0.00
0.2020,0.0320,0.10
0.2040,0.0320,0.30
0.2060,0.0320,0.00
0.2080,0.0320,-0.70
0.2100,0.0330,-1.30
0.2120,0.0330,-1.70
0.2140,0.0330,-2.00
0.2160,0.0340,-2.00
0.2180,0.0330,-1.50
0.2200,0.0330,-1.10
0.2220,0.0330,-0.90
0.2240,0.0330,-0.70
0.2260,0.0330,-0.60
0.2280,0.0330,-0.80
0.2300,0.0340,-0.90
0.2320,0.0340,-1.00
0.2340,0.0340,-1.00
0.2360,0.0340,-1.10
0.2380,0.0330,-0.30
0.2400,0.0330,0.20
0.2420,0.0330,0.60
0.2440,0.0330,0.90
