t,ax,ay,az,gx,gy,gz,mx,my,mz,temp
0.24934,-0.11846,0.36048,-9.75830,-0.03805,-0.06795,0.03459,-10.58275,-33.85189,32.98565,28.71680
0.27941,-0.10580,0.35585,-9.79324,0.02299,0.05406,0.03459,-10.59513,-34.57747,34.99151,28.69336
0.28928,-0.10222,0.33966,-9.78668,-0.03802,0.05406,-0.02642,-10.60888,-34.95028,36.61553,28.69531
0.31327,-0.12319,0.34316,-9.76592,-0.09905,0.05406,0.03459,-10.94775,-35.96492,34.62530,28.73047
0.32941,-0.08977,0.35638,-9.78143,0.02296,0.05406,-0.02642,-10.22363,-34.92488,34.61229,28.70703
0.35335,-0.12853,0.36645,-9.76896,-0.03805,0.11506,-0.02642,-10.60107,-34.93856,35.80956,28.68359
0.36965,-0.11776,0.33187,-9.77535,-0.03805,0.05406,-0.08745,-10.22583,-35.98837,35.82240,28.68555
0.39345,-0.10530,0.34679,-9.78260,-0.03805,0.11506,0.03456,-9.87011,-34.59579,35.79652,28.69727
0.41070,-0.11944,0.33382,-9.80378,-0.09905,-0.00695,-0.02645,-10.95605,-34.91854,34.60316,28.65820
0.43368,-0.11466,0.34092,-9.81792,0.14497,-0.06795,0.03456,-10.97487,-34.59335,36.21058,28.69531
0.44936,-0.11175,0.30314,-9.76460,-0.03802,0.11503,0.03456,-10.58595,-35.27011,34.59925,28.68164
0.47401,-0.09984,0.35758,-9.79506,-0.03802,0.05403,0.03456,-9.12990,-35.29855,35.78773,28.70508
0.48936,-0.11777,0.32945,-9.77893,-0.09902,0.11503,0.03456,-10.22657,-35.98947,35.82719,28.67773
0.51337,-0.08797,0.31388,-9.78893,-0.09902,0.11503,0.03456,-10.96779,-33.87814,34.98344,28.69141
0.52941,-0.09814,0.34723,-9.79133,0.02299,0.05403,0.03456,-10.58986,-35.27658,35.00181,28.64844
0.55329,-0.10824,0.34853,-9.76245,-0.03798,-0.00701,0.03456,-10.96339,-34.57687,35.00570,28.69141
0.56942,-0.11452,0.33314,-9.79840,0.02299,-0.00701,0.03456,-10.60450,-34.59146,35.80844,28.69336
0.59348,-0.10648,0.32238,-9.78489,0.02299,0.05403,-0.02639,-9.48829,-34.93057,34.58676,28.69531
0.60940,-0.10802,0.33364,-9.76974,0.02299,0.05403,-0.02639,-10.59376,-35.63662,35.80746,28.71680
0.63339,-0.11465,0.34411,-9.78950,-0.03798,0.05403,-0.02639,-10.59237,-34.92764,35.00131,28.67773
0.65751,-0.10414,0.34015,-9.76713,-0.03798,0.05403,-0.08745,-10.24105,-34.95361,36.60482,28.71289
0.67348,-0.11469,0.34209,-9.79661,-0.09899,-0.00698,0.03456,-10.59237,-34.92764,35.00131,28.68164
0.69746,-0.11237,0.32756,-9.77608,0.02302,0.05403,-0.02645,-10.22884,-34.58194,34.99762,28.68945
