t,ax,ay,az,gx,gy,gz,mx,my,mz,temp
0.0000,0.1850,1.1227,-9.7626,0.0230,-0.0069,0.0956,-6.6668,32.0373,23.3250,31.5449
0.0161,0.1316,1.1601,-9.8283,0.0840,-0.0069,0.0346,-5.9574,32.4629,21.6707,31.5547
0.0399,0.1523,1.1535,-9.8048,0.0230,-0.0679,0.0956,-7.3509,31.6514,23.3465,31.5293
0.0579,0.0971,1.0710,-9.7551,-0.0380,-0.0679,0.0346,-7.3364,32.4180,22.9139,31.5352
0.0799,0.1032,1.0861,-9.7587,-0.0380,0.0541,0.0346,-8.0258,32.7700,23.7313,31.5566
0.0961,0.1344,1.1599,-9.7798,-0.0380,0.0541,0.0956,-7.6877,32.0268,23.3428,31.5234
0.1199,0.0893,1.1239,-9.8261,-0.0380,-0.0069,0.0346,-7.6892,32.3943,23.7347,31.5645
0.1362,0.1880,1.1065,-9.7645,-0.0380,0.0541,0.0346,-7.6864,32.7744,23.7286,31.5156
0.1602,0.1097,1.1076,-9.7695,-0.0991,-0.0679,0.0346,-6.6581,31.6777,22.5167,31.5566
0.1758,0.1327,1.1696,-9.7820,-0.0380,-0.0072,-0.0873,-7.3431,32.0427,22.9361,31.5156
0.1999,0.1321,1.1756,-9.7983,-0.0380,-0.1290,0.0957,-7.0101,32.4026,23.7266,31.5547
0.2239,0.0855,1.1297,-9.7830,-0.0380,-0.0070,-0.0263,-6.9872,33.5598,22.8834,31.5684
0.2399,0.1299,1.1359,-9.7830,-0.0380,0.0540,-0.0263,-8.0497,33.1106,25.3599,31.5469
0.2639,0.1206,1.1299,-9.7725,-0.0380,0.1151,-0.0263,-7.3485,32.0305,23.3384,31.5586
0.2804,0.1702,1.0899,-9.7879,-0.0990,-0.0069,0.0347,-8.0062,32.4331,22.1177,31.5527
0.3042,0.1323,1.1253,-9.8169,-0.0380,-0.0680,0.0957,-7.0072,32.0332,23.3297,31.5234
0.3199,0.1450,1.1049,-9.7761,-0.0380,-0.0680,0.0347,-8.0228,32.7842,23.3380,31.5234
0.3439,0.1129,1.1412,-9.7574,-0.0990,-0.0680,0.0347,-7.0043,33.1618,23.7125,31.5664
0.3645,0.0835,1.1488,-9.7901,0.0230,-0.0680,0.0347,-7.3407,32.4231,22.9313,31.5586
0.3839,0.1197,1.0970,-9.7934,-0.1600,0.1150,0.0347,-8.7020,32.7756,23.3436,31.5449
0.4000,0.1623,1.1396,-9.7910,-0.0990,0.1151,0.0347,-7.6845,32.4057,23.3323,31.5273
0.4239,0.1643,1.1774,-9.7826,0.0230,0.0541,0.0347,-7.6880,32.7759,23.7339,31.5273
0.4399,0.1445,1.1392,-9.7798,0.0230,-0.0070,0.0347,-6.6597,32.4280,22.9136,31.5957
0.4673,0.0989,1.1278,-9.7816,0.0231,-0.0679,-0.0261,-7.3379,33.1677,23.3079,31.5020
0.4801,0.1068,1.1545,-9.7926,0.0230,0.0540,0.0347,-7.6792,32.4167,22.9280,31.5547
0.5125,0.1210,1.1554,-9.7870,0.0840,0.0540,-0.0263,-6.6587,33.1765,23.3028,31.5469
0.5280,0.1495,1.0858,-9.7821,0.0840,0.0540,-0.0263,-7.6880,32.7759,23.7342,31.5391
0.5443,0.1619,1.0920,-9.7710,0.0841,-0.0070,-0.0874,-7.3525,31.6528,23.3518,31.5117
0.5707,0.1465,1.0803,-9.8057,0.0230,-0.0071,-0.0873,-7.6802,32.7847,23.3201,31.5137
0.5840,0.1472,1.0616,-9.8036,0.0839,-0.0071,-0.0874,-7.0078,32.7833,23.7225,31.5273
0.6084,0.0966,1.0799,-9.7748,-0.0989,0.0541,-0.0264,-8.3611,32.0293,22.9432,31.5273
0.6241,0.1451,1.0754,-9.7867,0.0230,0.0541,0.0346,-7.3376,32.4197,22.9195,31.5547
0.6479,0.1414,1.1009,-9.7648,0.0225,0.0537,-0.0264,-7.3217,33.5681,22.4869,31.5547
0.6723,0.1727,1.1527,-9.7749,0.0230,0.0524,0.0346,-7.3524,32.7673,24.1295,31.5176
0.6879,0.1329,1.1628,-9.7827,-0.0380,-0.0078,-0.0264,-7.3272,32.8076,22.4986,31.5723
0.7038,0.1184,1.1743,-9.7676,0.0195,-0.0662,-0.0281,-6.9947,32.8028,22.9066,31.5547
0.7278,0.1176,1.1834,-9.7557,-0.0372,0.1142,0.0355,-6.9955,33.1692,23.2955,31.5156
0.7439,0.1217,1.1514,-9.7770,0.0805,0.1151,-0.0229,-7.0025,33.1601,23.7064,31.5430
0.7748,0.1385,1.1424,-9.8014,0.0806,-0.0035,0.0346,-6.6746,32.0282,23.7383,31.5234
0.7838,0.1342,1.1000,-9.7913,0.0848,0.0532,0.0346,-6.6509,32.4360,22.5000,31.5469
0.8090,0.1546,1.0961,-9.7774,0.1450,0.0469,-0.0264,-8.0230,33.1503,23.7276,31.5312
0.8238,0.1643,1.0890,-9.7930,0.0247,-0.0070,-0.0247,-7.3370,33.1682,23.3113,31.5469
0.8479,0.1457,1.0930,-9.8067,0.0247,-0.1290,0.0939,-7.3391,33.5364,23.7066,31.5566
0.8655,0.1122,1.0630,-9.8059,0.1304,-0.0217,0.0346,-6.6546,32.8069,22.9043,31.5723
0.8890,0.1149,1.0469,-9.7621,-0.0380,0.1079,-0.0192,-6.6532,32.8051,22.8981,31.5273
0.9039,0.1202,1.0818,-9.7760,-0.0691,0.1462,0.0047,-6.9865,33.5600,22.8852,31.5664
0.9280,0.1581,1.0644,-9.7975,-0.0380,0.0223,-0.0117,-7.6808,32.7855,23.3264,31.5137
0.9438,0.1580,1.0260,-9.8067,-0.1910,0.0851,0.0346,-7.6843,32.4064,23.3357,31.5566
0.9789,0.1514,1.0742,-9.7971,-0.2356,0.0077,0.0346,-7.3371,32.4190,22.9190,31.5605
0.9839,0.1191,1.0710,-9.7670,-0.2807,-0.0979,0.0657,-6.6662,32.7850,23.7134,31.5605
1.0090,0.1403,1.0984,-9.7832,-0.3600,-0.0070,-0.0117,-6.9973,32.4224,22.9131,31.5664
1.0238,0.1213,1.1869,-9.7959,-0.3430,-0.0070,0.0346,-7.3408,32.0399,22.9283,31.5566
1.0481,0.1045,1.1738,-9.7923,-0.3430,0.0540,-0.0264,-7.3422,32.7908,23.3270,31.5449
1.0639,0.1668,1.2255,-9.7874,-0.2509,-0.0083,0.0957,-7.3499,32.3987,23.7344,31.5625
1.0880,0.1456,1.2174,-9.7653,-0.2820,-0.1291,0.0346,-7.7095,31.6165,24.5743,31.5215
1.1119,0.1760,1.2245,-9.7548,-0.2210,-0.0680,-0.0264,-8.0203,32.0318,22.9366,31.5117
1.1282,0.1114,1.2542,-9.7643,-0.1898,-0.1589,0.0956,-7.6941,32.0169,23.7525,31.5410
1.1438,0.1032,1.2517,-9.7813,-0.1599,-0.0071,0.0956,-6.9940,32.8016,22.9034,31.5625
1.1680,0.1361,1.2468,-9.7844,0.0841,0.0540,0.0956,-6.9975,33.1717,23.3050,31.5293
1.1841,0.1378,1.2060,-9.7469,0.0231,-0.0070,0.0346,-8.0307,33.1421,24.1414,31.5625
1.2080,0.1494,1.1661,-9.8019,0.1451,-0.0069,0.0956,-7.3502,32.3997,23.7351,31.5586
1.2320,0.1195,1.1499,-9.8029,0.1451,-0.0679,0.0346,-7.3370,33.1682,23.3089,31.5391
1.2481,0.1183,1.1306,-9.7803,0.0840,-0.0679,0.0956,-7.3606,32.0110,24.1555,31.5703
1.2641,0.1105,1.0965,-9.7664,0.0840,-0.1289,0.0956,-7.3403,32.4231,22.9329,31.5391
1.2918,0.1131,1.0541,-9.8018,0.0840,0.0541,-0.0264,-6.9863,32.4449,22.1053,31.5781
1.3122,0.1526,1.0517,-9.8302,0.0230,-0.0680,0.0346,-7.6777,32.7999,22.9324,31.5391
1.3279,0.1526,1.0534,-9.8109,0.0841,-0.0680,-0.0874,-6.6758,32.0299,23.7429,31.5195
1.3518,0.1315,1.0712,-9.7718,0.0230,-0.0069,0.0346,-7.6665,32.4374,22.1140,31.5605
1.3680,0.0766,1.1389,-9.7694,0.0230,-0.0069,0.0346,-6.6587,32.4276,22.9119,31.6016
1.3918,0.1444,1.1104,-9.8057,0.0230,0.0541,-0.0264,-8.0473,31.2449,24.1834,31.5156
1.4079,0.1560,1.1439,-9.8095,-0.0380,0.1151,0.0346,-6.6587,32.4276,22.9119,31.5469
1.4320,0.1552,1.1641,-9.7696,0.0230,0.1151,-0.0264,-7.6987,31.6385,23.7635,31.5176
1.4478,0.1468,1.1658,-9.7362,0.0230,0.0541,0.0346,-7.6798,31.6687,22.5408,31.5215
1.4720,0.1097,1.1003,-9.7912,0.0840,-0.0680,0.0346,-7.3441,33.1580,23.7176,31.5566
1.4909,0.1115,1.0707,-9.8207,-0.0380,-0.0069,-0.0264,-7.3447,32.4094,23.3286,31.5371
1.5134,0.1290,1.0966,-9.8067,-0.0989,0.0540,-0.0874,-6.9978,33.1712,23.3041,31.5547
1.5280,0.1596,1.1336,-9.7534,-0.1600,-0.0069,-0.0264,-7.7058,31.6292,24.1752,31.5664
1.5520,0.1132,1.1467,-9.7817,-0.0380,-0.0069,0.0346,-7.3435,32.7913,23.3290,31.5000
1.5678,0.1519,1.1600,-9.7936,-0.0380,-0.0679,0.0956,-7.0061,31.6653,22.9372,31.5371
1.5939,0.1429,1.1272,-9.7842,-0.0380,-0.0678,-0.0264,-6.3230,32.0523,22.9193,31.5312
1.6080,0.1341,1.1313,-9.7849,0.0230,-0.0679,0.0346,-7.3289,33.5581,22.8964,31.5449
1.6319,0.0977,1.2139,-9.7628,-0.0990,-0.0679,-0.0873,-7.0095,32.0357,23.3387,31.5332
1.6479,0.1214,1.2359,-9.7632,0.0230,-0.0069,0.0952,-7.6731,32.4273,22.5223,31.5156
1.6719,0.1354,1.1655,-9.8034,0.0839,0.0540,0.0346,-7.3477,32.7788,23.7274,31.5332
1.6962,0.1304,1.1650,-9.7910,0.0230,0.0540,0.0345,-6.6724,32.4082,23.7316,31.5859
1.7123,0.1432,1.1671,-9.7674,0.0230,-0.0675,0.0345,-7.6861,32.4071,23.3380,31.5312
1.7291,0.1416,1.1344,-9.7884,0.1445,-0.0678,-0.0263,-7.6861,32.4071,23.3380,31.5645
1.7520,0.1181,1.1707,-9.8008,0.0841,-0.1281,0.0956,-7.6854,32.4062,23.3348,31.5703
1.7761,0.1042,1.2220,-9.8003,0.2061,-0.0078,0.0341,-7.3541,30.9042,22.9650,31.5586
1.8002,0.1142,1.1883,-9.7881,0.1459,-0.0078,-0.0858,-7.6922,32.3964,23.7457,31.5547
1.8160,0.1013,1.1145,-9.7595,0.2044,0.0524,0.0346,-8.3604,32.4122,22.9464,31.5469
