t,ax,ay,az,gx,gy,gz,mx,my,mz,temp,src
0.44889,-0.13082,0.35737,-9.79119,-0.03805,-0.00519,-0.02817,13.17618,-33.82199,42.05077,28.95703,full
0.47295,-0.18608,0.35993,-9.79816,-0.09203,-0.06443,-0.02645,13.90567,-32.77610,41.63598,28.90039,comp
0.48913,-0.21776,0.34043,-9.78862,-0.09555,0.11160,-0.02293,13.17374,-33.47385,42.05175,28.93359,comp
0.51289,-0.16710,0.34729,-9.77707,-0.09555,0.05059,-0.02293,13.90079,-33.13718,42.45580,28.91602,comp
0.52917,-0.13903,0.35903,-9.78255,-0.06735,0.00775,-0.10209,13.53385,-33.13439,42.45956,28.94531,comp
0.55302,-0.14031,0.33936,-9.78255,-0.03805,0.05410,-0.02641,13.92130,-34.16564,41.25449,28.89648,comp
0.56890,-0.17345,0.34307,-9.80087,-0.06794,0.08399,0.00348,14.27188,-33.13342,42.04160,28.90820,comp
0.59318,-0.17487,0.35419,-9.79870,-0.02339,0.05410,-0.02641,14.28949,-33.81359,40.84140,28.91211,comp
0.60889,-0.15443,0.31473,-9.79712,0.02297,0.03945,0.01994,13.17914,-33.11340,41.24545,28.94922,comp
0.63296,-0.13839,0.33884,-9.80160,-0.03453,0.05410,-0.02290,13.91352,-34.17687,42.04916,28.91992,comp
0.64892,-0.15078,0.33422,-9.79750,-0.03805,0.05410,0.00470,13.90497,-33.13097,42.04572,28.90820,comp
0.67395,-0.17148,0.34630,-9.78533,0.02296,-0.00690,-0.02641,13.17792,-33.46813,41.64850,28.91602,comp
0.68881,-0.19292,0.33741,-9.79943,-0.03805,0.05413,0.03459,13.55390,-33.10461,40.43464,28.94531,comp
0.71405,-0.14342,0.32107,-9.77819,-0.09905,0.05413,-0.02644,13.91547,-33.46813,41.24421,28.92383,comp
0.73723,-0.13393,0.35099,-9.77242,0.02296,-0.00687,0.03459,13.54340,-33.82580,42.05475,28.91797,comp
0.75295,-0.16071,0.34873,-9.79426,0.02296,-0.00687,-0.08742,13.92182,-32.75256,40.02155,28.93359,comp
0.76922,-0.18636,0.34643,-9.80658,-0.03805,0.05413,0.03459,12.45014,-33.80627,41.26471,28.91797,comp
0.79293,-0.15423,0.33967,-9.77707,0.02296,0.11514,-0.02641,13.91010,-33.82964,42.06403,28.93555,comp
0.81684,-0.13985,0.34089,-9.78957,-0.09905,0.05413,0.03459,13.54291,-32.76812,41.24323,28.95312,comp
0.83282,-0.15297,0.34151,-9.79011,-0.03805,0.11514,-0.02641,14.26752,-33.13970,42.43952,28.90234,comp
0.85701,-0.15840,0.35707,-9.78603,-0.03805,0.11514,0.03459,14.63519,-32.78960,42.05939,28.91797,comp
0.87308,-0.17749,0.33255,-9.77935,-0.03805,0.11514,-0.02641,12.82953,-33.79156,40.04963,28.96484,comp
0.89751,-0.15176,0.34272,-9.79662,0.08396,0.11514,-0.02641,13.54291,-32.76812,41.24298,28.92188,comp
0.91281,-0.15773,0.31815,-9.78346,-0.03805,-0.00687,0.03459,12.81342,-32.75624,40.84015,28.93945,comp
0.93712,-0.17254,0.33568,-9.82078,0.02296,0.05413,0.09560,13.17963,-34.17226,42.06379,28.90820,comp
0.95286,-0.17748,0.34212,-9.77940,-0.03805,0.05413,-0.02641,13.92523,-34.16093,40.85773,28.90430,comp
0.97693,-0.10314,0.36952,-9.77028,-0.16005,0.05413,-0.08742,13.17377,-33.47490,42.06574,28.93945,comp
0.99295,4.58436,-0.17638,-10.01540,-0.09905,0.29815,0.58348,13.92279,-33.81084,40.83918,28.91602,comp
1.01705,-6.32970,-0.52550,-9.67507,-0.52605,2.06768,-4.78370,13.55585,-33.80844,40.84935,28.96680,comp
1.03293,0.42811,-0.72325,-9.60665,-2.35613,7.61846,-4.17482,13.56230,-33.09262,39.62670,28.91602,comp
1.05696,-4.13119,-0.59989,-11.24718,-0.16013,8.41576,-7.16754,13.18121,-33.46190,41.25050,28.92773,full
1.07288,-2.15463,-2.74052,-10.51524,26.68362,20.18920,-43.48004,13.90680,-33.48009,42.06398,28.94727,comp
1.09691,2.33756,1.47042,-9.13927,22.84183,19.64086,-5.66754,13.16510,-33.48553,42.86574,28.92188,comp
1.11289,0.99186,0.11104,-11.11388,30.70901,20.79906,35.89496,11.31646,-32.78533,43.68117,28.91602,comp
1.13690,2.45182,0.81026,-10.18468,41.26370,29.03344,12.91059,9.45611,-32.10223,45.69289,28.92383,comp
1.15288,-0.25131,-0.53349,-10.48717,56.39651,11.47094,3.49653,7.64752,-32.75652,43.70363,28.93945,comp
1.17698,-0.43344,-0.83402,-9.87633,34.02151,-34.27906,-18.03472,5.80572,-31.34148,43.30324,28.95508,comp
1.20094,3.21305,1.60933,-10.38902,-19.75974,-17.82594,-7.30035,5.43951,-29.92547,42.08058,28.98242,comp
1.21774,0.35172,-0.56840,-12.19469,-46.05661,40.54906,30.44965,6.15875,-29.59978,43.27882,28.93555,comp
1.23285,-0.26693,-0.48112,-11.90147,-39.59177,55.56469,23.44184,5.08941,-30.95818,41.29250,28.96289,comp
1.25702,-0.57724,0.71517,-10.82726,-32.09177,43.99437,24.59418,5.11447,-30.56829,38.46632,28.94141,comp
1.27278,-2.07235,-1.19010,-10.64183,-30.62204,-7.97438,20.85199,4.38009,-29.50384,37.64943,28.93359,comp
1.29697,0.74991,0.41732,-10.45555,-24.27829,-62.66188,-29.27301,4.37772,-28.09563,36.80177,28.93555,comp
1.31313,0.97342,-0.13542,-10.04540,-31.00485,-94.19313,-33.34722,4.74588,-27.74358,36.38869,28.94336,comp
1.33694,0.20096,0.23519,-10.11601,-29.20310,-103.65406,-41.40972,5.08475,-25.31585,37.16554,28.97266,comp
1.36116,0.75174,1.38265,-10.20830,-32.19919,-122.45094,-47.57379,6.88260,-21.85296,37.92336,28.93555,comp
1.37690,0.60550,0.59212,-9.31816,-0.71481,-113.95875,-33.81597,9.04276,-21.22454,41.51906,28.93555,comp
1.40141,-2.55075,0.51235,-7.90117,-2.71481,-122.74000,-23.37066,7.93729,-20.16399,41.11623,28.99023,comp
1.42519,-2.26779,0.97133,-7.98668,-33.83981,-159.83375,-33.30816,8.63748,-17.39446,42.25685,28.97266,comp
1.44091,-2.14810,1.32583,-8.64488,-69.12106,-167.49781,-46.44097,9.69803,-13.92962,43.39455,28.90234,comp
1.45688,-3.64614,1.64834,-8.96837,-73.51169,-160.22438,-37.94097,10.76151,-10.81438,44.55861,28.95117,comp
1.48128,-4.45767,2.17177,-7.31505,-77.94528,-163.20680,-35.01129,12.22342,-9.06829,43.70802,28.91992,comp
1.49683,-6.33755,3.21670,-7.76988,-104.58591,-183.65992,-25.40191,12.57254,-8.39056,44.91212,28.94531,comp
1.52087,-4.39614,2.65078,-8.39147,-130.58591,-204.81617,-19.29644,14.42508,-5.55267,40.80275,28.94141,comp
1.53688,-3.12173,1.41250,-7.50963,-121.24997,-177.70680,-7.16363,14.41201,-2.39446,39.54103,28.91211,comp
1.56129,-3.53750,1.28835,-7.76866,-107.67185,-131.83180,4.73481,16.23232,0.39460,38.66994,28.91602,comp
1.57689,-6.90274,1.59035,-7.46178,-78.64060,-88.05055,18.80512,18.79677,1.42780,38.22926,28.92188,comp
1.60097,-6.67190,2.47317,-6.48131,-66.82028,-87.96406,-1.96051,19.15663,2.82624,37.78712,28.88086,comp
1.61717,-5.98098,2.61941,-6.82945,-66.66171,-87.97978,-4.59527,20.60488,4.19929,38.55763,28.90820,comp
1.64104,-5.45999,2.14919,-6.64183,-55.48984,-76.10478,-1.72613,22.07558,7.37116,35.67091,28.88086,comp
1.65687,-5.13640,1.93886,-7.00743,-46.27039,-50.54765,7.73936,21.69970,7.36809,36.88323,28.88086,full
1.68091,-5.54387,1.96483,-7.17748,-19.31726,-18.36015,12.26280,23.16064,8.75871,36.43621,28.92578,comp
1.69685,-6.40861,3.19042,-7.34813,-1.06726,6.65548,12.03770,23.16107,7.70012,37.26629,28.89844,comp
1.72130,-8.15764,3.71825,-7.03270,0.88195,19.61641,19.60411,23.16673,7.00237,37.28338,28.91406,comp
1.73696,-8.05845,2.57762,-7.40502,5.07727,12.60860,9.38536,23.15591,7.33953,38.08562,28.87891,comp
1.76154,-6.90416,3.79637,-7.71434,13.49914,15.05196,6.66856,22.80630,7.72087,36.06414,28.89648,comp
1.77689,-6.19127,4.67626,-8.38133,2.20227,24.10665,9.02989,23.17398,5.60173,37.70965,28.89648,comp
1.80103,-7.42760,4.14940,-8.17027,-11.64148,30.10665,9.43761,22.80411,5.95329,37.70179,28.90820,comp
1.81697,-6.24010,3.80931,-7.44957,-25.06336,27.11641,-1.72646,23.91055,5.24675,37.70158,28.95117,comp
1.84099,-6.60972,3.37865,-7.41957,-28.11414,36.69454,-4.16786,23.18497,5.26445,36.90714,28.91406,comp
1.86497,-7.42320,5.00658,-7.37230,-48.80164,23.57735,-5.81532,23.57217,4.23223,35.70206,28.88281,comp
1.88102,-7.14342,4.19359,-6.77513,-64.73133,4.17110,-2.82509,24.66495,5.27129,35.68002,28.91602,comp
1.89691,-5.92174,3.56957,-5.73314,-60.82703,-2.96952,-6.54774,24.33560,4.62285,32.45736,28.90820,comp
1.92157,-6.37657,3.77806,-5.05492,-62.59656,-7.05546,1.26476,25.81119,4.62380,31.63998,28.91406,comp
1.94495,-6.53331,3.69823,-4.80223,-63.87781,-13.52421,-5.38759,26.54068,4.61171,32.02572,28.90430,comp
1.96110,-5.58458,3.73543,-3.19481,-71.26062,-20.48124,-7.76649,26.92203,4.27699,30.80599,28.96484,comp
1.98524,-5.68046,3.06355,-4.01903,-65.46375,-22.92265,-0.26259,28.39957,4.98695,29.16048,28.87109,comp
2.00087,-6.65019,3.24825,-3.88194,-35.68250,-14.86796,7.72960,29.11392,6.01137,30.36752,28.94531,comp
2.02514,-6.12382,4.24190,-4.29552,-16.88562,-11.02421,-0.50478,29.12171,4.96352,30.36878,28.92188,comp
2.04104,-7.11210,5.62471,-3.99327,-0.54187,4.65548,17.62022,28.76136,5.68227,29.15491,28.91211,comp
2.06490,-8.90898,5.93550,-4.04524,-12.37781,-15.29765,19.93858,29.87854,4.63930,28.35755,28.90820,comp
2.08098,-8.75273,5.02437,-4.60335,-28.65906,-52.95390,14.93468,29.86895,5.33119,28.75037,28.92383,comp
2.10494,-7.07597,5.33980,-4.39754,-38.29969,-73.70390,3.88780,29.13751,6.04652,27.93933,28.86133,comp
2.12106,-6.27617,5.72188,-5.19100,-53.91687,-79.74296,2.66710,30.96368,7.07973,27.90873,28.88086,comp
2.14509,-7.24833,6.33809,-5.02364,-62.64344,-78.88847,15.97179,29.87384,7.81020,26.30228,28.90234,comp
2.16110,-6.75712,6.36171,-5.07298,-79.29969,-93.34941,15.24083,32.07306,9.55629,25.03568,28.88477,comp
2.18505,-5.72001,5.01991,-3.40502,-107.06531,-111.03691,3.64708,32.07935,9.21254,24.62845,28.85156,comp
2.20087,-5.30522,4.39150,-4.02953,-116.52625,-102.92753,0.71739,33.56860,9.58608,22.18900,28.86719,comp
2.22485,-6.01127,4.12587,-3.63133,-107.19031,-78.28691,-7.21230,34.30786,11.00111,20.55130,28.87109,comp
2.24102,-6.92436,4.62831,-2.58446,-92.48719,-62.90409,-29.18105,34.66797,12.75404,19.70072,28.87305,comp
2.26541,-7.21774,5.45501,-1.72726,-97.32370,-61.28587,-43.60175,35.41473,13.82029,18.06039,28.90625,full
2.28090,-7.22338,5.02386,-1.38131,-111.78464,-57.32103,-39.33612,36.17205,13.84916,15.62289,28.90234,comp
2.30493,-8.17308,4.19867,-1.19503,-110.81100,-43.41478,-27.62519,36.91326,15.97220,13.16000,28.87891,comp
2.32889,-7.98021,4.88763,-1.47701,-88.29538,-35.36009,-10.23456,36.56268,15.99915,11.55160,28.85742,comp
